Numer osobnika,Gatunek,Data z³apania,Waga samicy (mg),Waga kokonu (mg),Liczba jaj,Liczba prelarw/ embryo,Liczba larw/ juvenile,Liczba nimf,Liczba potomstwa ogó³em,Parazytoid TAK/NIE,Parazytoid stadium,D³ugoœæ g³owotu³owia [µm],Szerokoœæ g³owotu³owia [µm],Pomiar kokonu I [µm],Pomiar kokonu II [µm],Populacja
MIC_2,Pardosa lugubris,7/12/2020,15.4,11.7,25,,,,25,NIE,,2588,2142,3217,3186,MIC
MIC_3,Pardosa lugubris,7/12/2020,13,11.5,27,,,,27,NIE,,2514,2058,3360,3191,MIC
MIC_4,Pardosa lugubris,7/12/2020,15.4,10,23,,,,23,NIE,,2708,2038,3452,3225,MIC
MIC_5,Pardosa lugubris,7/12/2020,15.1,10.5,21,,,,21,NIE,,2594,2110,3434,3269,MIC
MIC_6,Pardosa lugubris,7/12/2020,23.9,17.5,38,,,,38,NIE,,2885,2440,3886,3852,MIC
MIC_7,Pardosa lugubris,7/12/2020,13.5,9.6,17,,,,17,NIE,,2521,2072,3268,3159,MIC
MIC_8,Pardosa lugubris,7/12/2020,14.6,13,28,,,,28,NIE,,2663,2062,3814,3311,MIC
MIC_9,Pardosa lugubris,7/12/2020,16.4,15.4,32,,,,32,NIE,,2536,2151,3630,3544,MIC
MIC_10,Pardosa lugubris,7/12/2020,16.1,11.1,29,,,,29,NIE,,2587,2002,3439,3335,MIC
MIC_11,Pardosa lugubris,7/12/2020,19.6,11.7,20,,,,20,NIE,,2823,2326,3682,3417,MIC
MIC_12,Pardosa lugubris,7/12/2020,16.6,10.9,26,,,,26,NIE,,2537,1980,3391,3349,MIC
MIC_13,Pardosa lugubris,7/12/2020,16.6,12,22,,,,22,NIE,,2434,2206,3596,3354,MIC
MIC_1,Pardosa lugubris,7/15/2020,14.4,11,25,,,,25,NIE,,2521,1953,3177,3054,MIC
MIC_2,Pardosa lugubris,7/15/2020,20.3,12.2,30,,,,30,NIE,,2712,2396,3527,3230,MIC
MIC_3,Pardosa lugubris,7/15/2020,15.1,9.7,18,,,,18,NIE,,2194,2011,3212,3001,MIC
MIC_4,Pardosa lugubris,7/15/2020,15.9,11.7,25,,,,25,NIE,,2460,2014,3536,3257,MIC
MIC_5,Pardosa lugubris,7/15/2020,14.3,13.5,27,,,,27,NIE,,2610,2140,3544,3428,MIC
MIC_6,Pardosa lugubris,7/15/2020,11.3,7.9,20,,,,20,NIE,,2282,1902,3357,3072,MIC
MIC_7,Pardosa lugubris,7/15/2020,17.4,11.3,30,,,,30,NIE,,2428,2266,3702,3420,MIC
MIC_1,Pardosa lugubris,7/18/2020,24.4,11.5,,,23,,23,NIE,,2728,2198,4031,3726,MIC
MIC_3,Pardosa lugubris,7/18/2020,18.5,10.9,23,,,,23,NIE,,2767,2114,3685,2821,MIC
MIC_1,Pardosa lugubris,7/22/2020,13,9.6,,,25,,25,NIE,,,,3686,3241,MIC
MIC_2,Pardosa lugubris,7/22/2020,13,10.9,,,23,,23,NIE,,2552,1976,3694,3452,MIC
MIC_3,Pardosa lugubris,7/22/2020,14.8,11,25,,,,25,NIE,,,,3831,3059,MIC
MIC_4,Pardosa lugubris,7/22/2020,13.1,7.5,,21,,,21,NIE,,,,3237,2994,MIC
MIC_5,Pardosa lugubris,7/22/2020,19.5,10.4,1,27,,,28,NIE,,2858,2256,3757,3557,MIC
MIC_8,Pardosa lugubris,7/22/2020,9.2,3.7,,,,,,TAK,POCZWARKA,2481,2137,3727,2467,MIC
MIC_9,Pardosa lugubris,7/22/2020,13.6,8.1,,,22,,22,NIE,,,,3513,3272,MIC
MIC_10,Pardosa lugubris,7/22/2020,15.1,12.3,28,,,,28,NIE,,,,3387,3386,MIC
MIC_11,Pardosa lugubris,7/22/2020,14.4,7.3,18,,,,18,NIE,,,,3060,2931,MIC
MIC_12,Pardosa lugubris,7/22/2020,9.6,5.2,8,,,,8,NIE,,,,2815,2516,MIC
MIC_13,Pardosa lugubris,7/22/2020,18.4,7.3,15,,,,15,NIE,,,,3112,2742,MIC
MIC_14,Pardosa lugubris,7/22/2020,15.7,11.7,,,30,,30,NIE,,,,3735,3566,MIC
MIC_16,Pardosa lugubris,7/22/2020,21.3,13.6,37,,,,37,NIE,,,,3950,3738,MIC
MIC_17,Pardosa lugubris,7/22/2020,13.6,9.7,2,24,,,26,NIE,,2645,2065,3788,3421,MIC
MIC_18,Pardosa lugubris,7/22/2020,13.1,5.8,9,,,,9,NIE,,,,,,MIC
